Protein.IDs,Gene.names,NorIntensity_52_Staurosporine_Rep1,NorIntensity_52_Staurosporine_Rep2,NorIntensity_52_Staurosporine_Rep3,NorIntensity_52_Staurosporine_Rep4,NorIntensity_52_Staurosporine_Rep5,NorIntensity_52_Staurosporine_Rep6,NorIntensity_52_Staurosporine_Rep7,NorIntensity_52_Staurosporine_Rep8,NorIntensity_52_Staurosporine_Rep9,NorIntensity_52_Vehicle_Rep1,NorIntensity_52_Vehicle_Rep2,NorIntensity_52_Vehicle_Rep3,NorIntensity_52_Vehicle_Rep4,NorIntensity_52_Vehicle_Rep5,NorIntensity_52_Vehicle_Rep6,NorIntensity_52_Vehicle_Rep7,NorIntensity_52_Vehicle_Rep8,NorIntensity_52_Vehicle_Rep9,Log2FC_9rep
A0AVT1,UBA6,18.84592997,18.85955611,18.87947846,18.97323438,18.88862955,19.08336587,18.91530098,18.92420396,18.89242701,18.99144382,18.91171829,18.8646001,18.89600657,18.94037463,18.93066958,18.94037024,18.87638495,18.97837033,-0.007534691
A0JNW5,UHRF1BP1L,10.7367861,10.78022746,10.40183262,11.00094869,12.15619451,11.57937142,11.04229361,11.08989428,10.46559181,10.52898318,10.5925971,10.96310872,10.90379066,10.59968191,10.61898989,10.86291947,11.05418712,10.77545174,0.261492303
A0MZ66,SHTN1,16.59572563,17.61641221,17.56495002,17.74004259,17.63690944,16.96811744,17.61975743,17.17457007,17.66093393,17.65371334,17.47920755,16.61159547,17.57845389,17.57295622,17.64231782,17.61362087,17.6818716,16.53479835,0.023209296
A2RRP1,NBAS,13.34908195,13.32683638,13.41702979,13.16873439,13.42705678,13.66049932,13.44409838,13.58225755,13.21315184,13.12051665,13.45999261,13.33788999,13.1573036,13.22664473,13.00549743,13.24071244,13.13103708,13.20988198,0.188807762
A3KN83,SBNO1,16.87910728,16.90157191,16.94050547,16.86456137,16.95191946,16.96824922,16.86029002,16.86509305,16.85826639,16.90391071,17.05997862,16.92299754,16.9071551,16.88886297,16.88622777,16.91395328,16.69373621,16.76542674,0.016368359
A4D126,ISPD,13.9781981,13.58185694,13.5590895,13.87400697,13.78871485,13.08378818,13.68609803,13.62315667,13.53884301,13.46679915,13.59054765,13.45566861,13.7056965,13.674057,13.81166524,13.63960755,13.46934769,13.60299364,0.033041022
A4D1P6,WDR91,14.83432242,14.78292824,14.6621268,14.98033599,14.84196431,14.9231296,14.85841067,14.78931225,14.91290788,14.82175238,14.91665125,14.95379805,14.96935516,14.87345632,14.93569562,14.84501486,14.83669425,15.01330666,-0.064476266
A5D8V6,VPS37C,14.99822198,15.01065188,15.06055939,15.06820835,14.88119464,14.82461648,14.88250723,14.96102941,14.89674749,15.11206083,15.10235092,14.97972043,15.10245969,15.11012627,15.11243139,15.09653614,14.99812632,15.13285206,-0.129214134
A5PLN9,TRAPPC13,14.72772117,14.82059765,14.6500204,14.46762197,14.52797161,14.71917645,14.60074402,14.7753802,14.88393578,14.5609274,14.5232152,14.35677057,14.8416084,14.8380336,14.63884972,14.76861212,14.82178877,14.74041241,0.009216783
A5YKK6,CNOT1,16.74870379,16.76315491,16.81301745,16.7477141,16.74674157,16.86534891,16.80384861,16.83228142,16.70708525,16.83006272,16.79748075,16.72941921,16.70973961,16.86456014,16.81294423,16.79467624,16.74309879,16.82104688,-0.008348063
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,19.24271315,19.29352006,19.38200084,19.43201233,19.31538219,19.32970835,19.36071034,19.26940423,19.30205024,19.31966702,19.29660903,19.3839803,19.34738577,19.30851082,19.34119846,19.28071485,19.31091228,19.31813233,0.002265651
A6NDG6,PGP,17.94745288,17.96077627,17.99627392,18.21645443,18.04682792,18.17207784,17.98394038,17.94813059,18.09530848,18.12330634,17.76314974,17.99774664,17.9572482,17.81756367,18.1227228,18.03080805,18.0167374,17.96104575,0.064101568
A6NDU8,C5orf51,16.65327315,16.79397473,16.73605814,16.78923821,16.79411498,16.69132693,16.67399243,16.72105182,16.60537383,16.77381632,16.57443785,16.68336657,16.73439974,16.84658085,16.60853763,16.70677971,16.66558943,16.70392638,0.017885526
A6NED2,RCCD1,14.4496056,14.47365299,14.50569394,14.38382332,14.4022348,14.39281514,14.36643935,14.52452665,14.44690597,14.44596899,14.40523185,14.36197723,14.3850498,14.2797082,14.48082656,14.5618114,14.39378164,14.5324998,0.010982476
A6NFI3,ZNF316,13.23157043,12.23714153,12.63540439,12.86517699,12.30672717,12.74147367,12.97135892,12.90552886,12.60341355,12.48475481,11.06060491,13.39441611,12.37274074,13.47770207,12.15506402,12.57412124,13.47103388,12.95663458,0.061191459
A6NGR9,MROH6,18.19469224,18.4894146,17.77113952,18.39938459,18.02151461,18.44040272,18.24305759,18.46989416,18.42811618,18.60700967,18.32985162,18.37430842,18.43541695,18.14735851,18.20001629,18.48198797,18.07563061,18.20717195,-0.044570639
A6NHL2,TUBAL3,17.66569601,17.87657259,18.19228514,17.99939097,18.1726236,17.68224056,16.17425338,17.39720863,17.0990731,17.49943353,18.10941399,17.7998548,17.059048,15.6185653,17.65013241,17.87922014,17.78927821,17.67274472,0.131294765
