PG.ProteinAccessions,PG.Genes,[1] HF_RCF20200718_52ITDR_0nM_1.raw.PG.Quantity,[2] HF_RCF20200718_52ITDR_0nM_2.raw.PG.Quantity,[3] HF_RCF20200718_52ITDR_0nM_3.raw.PG.Quantity,[4] HF_RCF20200718_52ITDR_0nM_4.raw.PG.Quantity,[5] HF_RCF20200718_52ITDR_0nM_5.raw.PG.Quantity,[6] HF_RCF20200718_52ITDR_2nM_1.raw.PG.Quantity,[7] HF_RCF20200718_52ITDR_2nM_2.raw.PG.Quantity,[8] HF_RCF20200718_52ITDR_2nM_3.raw.PG.Quantity,[9] HF_RCF20200718_52ITDR_2nM_4.raw.PG.Quantity,[10] HF_RCF20200718_52ITDR_2nM_5.raw.PG.Quantity,[11] HF_RCF20200718_52ITDR_20uM_1.raw.PG.Quantity,[12] HF_RCF20200718_52ITDR_20uM_2.raw.PG.Quantity,[13] HF_RCF20200718_52ITDR_20uM_3.raw.PG.Quantity,[14] HF_RCF20200718_52ITDR_20uM_4.raw.PG.Quantity,[15] HF_RCF20200718_52ITDR_20uM_5.raw.PG.Quantity,[16] HF_RCF20200718_52ITDR_40nM_1.raw.PG.Quantity,[17] HF_RCF20200718_52ITDR_40nM_2.raw.PG.Quantity,[18] HF_RCF20200718_52ITDR_40nM_3.raw.PG.Quantity,[19] HF_RCF20200718_52ITDR_40nM_4.raw.PG.Quantity,[20] HF_RCF20200718_52ITDR_40nM_5.raw.PG.Quantity,[21] HF_RCF20200718_52ITDR_800nM_1.raw.PG.Quantity,[22] HF_RCF20200718_52ITDR_800nM_2.raw.PG.Quantity,[23] HF_RCF20200718_52ITDR_800nM_3.raw.PG.Quantity,[24] HF_RCF20200718_52ITDR_800nM_4.raw.PG.Quantity,[25] HF_RCF20200718_52ITDR_800nM_5.raw.PG.Quantity
A0A0B4J2A2;P0DN37,PPIAL4C;PPIAL4G,280886.1563,350536.375,395482.9688,529389.875,650036.125,354326.3125,384624.6563,323798.4063,191761.4688,445568,234697.9531,305059.3438,320550.4063,496968.5938,277146.3438,250238.9531,380490.875,369046.125,623721.3125,364558.9688,392942.3125,217057.6875,363099.0938,326523.6563,218986.5
A0AV96;Q8TBY0;Q9NQ94,RBM47;RBM46;A1CF,7000.269531,8944.348633,7344.414063,6384.117676,6136.617676,5192.053711,5731.125977,6387.272949,4822.541992,4748.813965,6721.587402,8525.473633,8234.831055,6223.022949,5902.530273,12643.04395,11030.32715,7431.186035,6680.380371,5583.751953,5017.246582,8076.522949,10024.68457,5022.645508,6220.820313
A0AVT1,UBA6,1559011.25,1495067.375,2057826.75,1399957.75,2419587,1360228.625,1622459.875,1857670.375,2843359.75,2562566.5,2124247.5,2211687,1917558.25,3184783,3271137.5,2049065.625,1554339.5,2118278.5,1796096.5,2139079.5,2065591.75,1173358.625,1032769.625,1851213.25,1938691.375
A0FGR8,ESYT2,38851.60547,42731.01172,47492.72656,42697.34375,41974.69141,44136.66016,34524.42969,42332.89844,34757.92188,39077.25,27918.57813,28011.40234,13125.27734,35420.33203,34266.77734,38152.52734,42197.08984,38832.39844,34931.79688,40959.27734,32232.67188,24292.80273,34640.06641,25733.66406,41138.62891
A0JLT2,MED19,24278.69336,15900.85352,18070.89063,13168.66113,20098.9043,13298.2168,14423.03027,15870.9248,21729.34961,Filtered,16274.60156,24657.35547,13303.05566,15267.93848,15690.13965,12084.13574,7207.066895,6058.595215,21888.24023,18779.86523,25486.45313,7243.906738,16733.4043,1,18826.3125
A0JNW5,UHRF1BP1L,5540.768066,6797.359375,5721.55957,7223.476074,6723.983398,6288.087891,5985.75293,5640.872559,5817.798828,6708.611328,5720.029297,5334.347656,5188.973633,6092.461914,7055.411621,4206.0625,6828.972168,5479.423828,6868.182617,6219.987305,6545.881348,7326.743164,6604.689453,6686.18457,7233.378906
A0MZ66,SHTN1,215354.4375,236100.2344,231511.8125,220302.6719,233110.1406,243038.0313,230246.75,231637.5625,224635.5469,230713.5625,206390.5313,209762.75,224341.8281,238152.3594,195518.9844,208578.2656,218871.1719,226121.0156,228453.5781,227281.75,226802.8281,200866.9375,203584.2656,243825.0313,242247.5
A1KXE4,FAM168B,78032.27344,82696.25781,76489.61719,90666.44531,85426.08594,88218.03125,89051.70313,78938.76563,78722.40625,97171.33594,82491.96875,64169.18359,92216.79688,81948.83594,94528.10156,64911.13281,69397.69531,70900.07813,90178.94531,73376.09375,79940.84375,57838.73047,94236.30469,77880.26563,89534.19531
A2RRD8;Q96IR2,ZNF320;ZNF845,2565.721436,4960.862305,3448.785889,6263.628418,5767.998047,4381.952637,5891.64502,6046.108887,5005.333984,4651.28418,4790.415039,5295.536133,4213.379883,5491.614746,6151.177734,5358.015625,6644.931641,5835.095215,5667.896973,5650.677246,5167.279785,6842.639648,7417.806152,4986.439941,4363.976074
A2RRP1,NBAS,11391.95605,9974.557617,11148.92773,12768.98145,10127.53418,10218.89941,12122.35547,9565.291016,10090.2168,9672.480469,11286.07617,12583.93262,9370.418945,10427.08496,11818.02344,13108.97656,11410.37305,10581.46387,9032.599609,9905.301758,10493.51855,10483.39453,13428.57715,10674.7959,10256.30664
